@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R3-7,12-19,25-29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
5,4,-1,3,9,14,True,True,True,True,True,South
6,4,-1,5,8,13,True,True,True,True,True,East
7,4,-1,7,8,13,True,True,True,True,True,East
8,4,-1,8,9,12,True,True,True,True,True,East
8,5,-1,6,8,10,True,True,True,True,True,North
8,6,-1,4,6,10,True,True,True,False,True,North
8,7,-1,3,4,10,True,True,True,True,True,North
7,7,-1,1,4,10,True,False,True,True,True,West
6,7,-1,-1,4,11,True,False,True,True,True,West
5,7,-1,-1,2,13,True,False,True,True,True,West
5,8,-1,-1,-1,14,True,True,True,True,True,North
6,8,-1,-1,-1,14,True,True,True,True,True,East
7,8,-1,-1,-1,12,True,True,True,True,True,East
8,8,-1,-1,-1,11,True,True,True,True,True,East
9,8,-1,-1,-1,11,True,True,True,True,True,East
10,8,-1,-1,-1,9,True,True,False,True,True,East
10,9,-1,-1,-1,9,True,True,True,True,True,North
11,9,-1,-1,-1,7,True,False,True,True,True,East
12,9,-1,-1,-1,5,False,True,True,True,True,East
13,9,-1,-1,-1,4,False,True,True,True,True,East
14,9,-1,-1,-1,4,True,True,True,True,True,East
15,9,-1,-1,-1,3,False,True,True,True,True,East
16,9,-1,-1,-1,2,False,True,True,True,True,East
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,11,5,9,18,True,True,False,False,True,South
1,9,11,5,11,16,True,True,True,False,True,South
1,8,9,7,12,16,True,True,True,False,True,South
1,7,9,7,12,16,True,True,True,False,True,South
1,6,8,9,12,16,True,True,False,False,True,South
1,5,6,9,12,15,True,True,True,False,True,South
2,5,4,9,11,13,False,True,True,True,True,East
3,5,2,9,9,11,False,True,True,True,True,East
4,5,2,9,7,11,False,True,True,True,True,East
4,4,1,9,7,13,True,True,True,True,True,South
4,3,-1,9,7,15,True,False,True,True,True,South
5,3,-1,8,5,15,True,False,True,True,True,East
6,3,-1,8,5,13,True,False,True,True,True,East
7,3,-1,8,3,11,True,False,True,True,True,East
8,3,-1,8,2,11,True,False,True,True,True,East
8,4,-1,7,2,9,True,True,True,True,True,North
8,5,-1,6,1,7,True,True,True,True,True,North
8,6,-1,6,-1,7,True,True,True,False,True,North
9,6,-1,6,-1,6,True,True,True,True,True,East
10,6,-1,6,-1,5,True,True,False,True,True,East
10,5,-1,6,-1,5,True,True,True,True,True,South
11,5,-1,6,-1,3,False,True,True,True,True,East
12,5,-1,6,-1,3,False,False,True,True,True,East
13,5,-1,6,-1,3,False,True,True,True,True,East
14,5,-1,6,-1,3,True,True,True,True,True,East
15,5,-1,8,-1,1,False,True,True,True,True,East
16,5,-1,10,-1,-1,False,True,True,True,True,East
15,5,-1,8,-1,-1,False,True,True,True,True,West
14,5,-1,8,-1,-1,True,True,True,True,True,West
13,5,-1,6,-1,-1,False,True,True,True,True,West
12,5,-1,6,-1,-1,False,False,True,True,True,West
11,5,-1,6,-1,-1,False,True,True,True,True,West
10,5,-1,4,-1,-1,True,True,True,True,True,West
9,5,-1,2,-1,-1,True,True,True,True,True,West
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,10,5,7,16,True,True,False,False,True,South
1,9,10,5,9,15,True,True,True,False,True,South
1,8,10,5,9,13,True,True,True,False,True,South
1,7,8,5,11,11,True,True,True,False,True,South
1,6,6,7,11,12,True,True,False,False,True,South
1,5,5,7,12,14,True,True,True,False,True,South
2,5,4,5,11,14,False,True,True,True,True,East
3,5,3,3,11,14,False,True,True,True,True,East
4,5,3,3,11,13,False,True,True,True,True,East
5,5,1,5,9,13,False,True,True,True,True,East
6,5,-1,5,8,13,False,True,True,True,True,East
7,5,-1,5,7,12,False,True,True,True,True,East
8,5,-1,7,7,10,True,True,True,True,True,East
9,5,-1,7,7,9,True,True,True,True,True,East
10,5,-1,8,9,8,True,True,True,True,True,East
10,6,-1,6,9,7,True,True,False,True,True,North
9,6,-1,5,8,7,True,True,True,True,True,West
8,6,-1,5,6,7,True,True,True,False,True,West
8,7,-1,4,6,7,True,True,True,True,True,North
7,7,-1,3,6,7,True,False,True,True,True,West
6,7,-1,1,4,9,True,False,True,True,True,West
5,7,-1,-1,3,10,True,False,True,True,True,West
5,8,-1,-1,2,10,True,True,True,True,True,North
5,9,-1,-1,1,10,True,True,True,True,True,North
5,10,-1,-1,-1,10,True,True,True,False,True,North
6,10,-1,-1,-1,10,True,True,False,True,True,East
6,9,-1,-1,-1,10,True,True,True,True,True,South
7,9,-1,-1,-1,9,False,True,True,True,True,East
8,9,-1,-1,-1,7,False,True,True,True,True,East
9,9,-1,-1,-1,7,False,True,True,True,True,East
10,9,-1,-1,-1,6,True,True,True,True,True,East
11,9,-1,-1,-1,5,True,False,True,True,True,East
12,9,-1,-1,-1,4,False,True,True,True,True,East
13,9,-1,-1,-1,3,False,True,True,True,True,East
14,9,-1,-1,-1,3,True,True,True,True,True,East
15,9,-1,-1,-1,3,False,True,True,True,True,East
16,9,-1,-1,-1,1,False,True,True,True,True,East
17,9,-1,-1,-1,3,False,True,True,True,True,East
1,11,11,7,7,18,False,True,True,False,True,Stop
1,10,11,5,7,17,True,True,False,False,True,South
1,9,10,5,9,15,True,True,True,False,True,South
1,8,10,3,11,13,True,True,True,False,True,South
1,7,8,3,12,13,True,True,True,False,True,South
1,6,6,4,13,15,True,True,False,False,True,South
1,5,6,5,14,15,True,True,True,False,True,South
2,5,5,5,13,13,False,True,True,True,True,East
3,5,3,3,13,13,False,True,True,True,True,East
4,5,2,3,11,11,False,True,True,True,True,East
5,5,1,5,10,10,False,True,True,True,True,East
6,5,-1,7,8,10,False,True,True,True,True,East
7,5,-1,9,8,9,False,True,True,True,True,East
8,5,-1,9,7,7,True,True,True,True,True,East
9,5,-1,9,7,6,True,True,True,True,True,East
10,5,-1,11,7,6,True,True,True,True,True,East
10,6,-1,9,6,6,True,True,False,True,True,North
10,7,-1,7,5,4,True,True,False,True,True,North
10,8,-1,7,4,4,True,True,False,True,True,North
10,9,-1,9,4,6,True,True,True,True,True,North
10,10,-1,9,3,7,True,True,True,False,True,North
10,11,-1,9,3,9,False,True,True,True,True,North
9,11,-1,8,2,9,False,False,True,True,True,West
8,11,-1,7,-1,10,False,False,True,True,True,West
9,11,-1,7,-1,8,False,False,True,True,True,East
10,11,-1,8,-1,6,False,True,True,True,True,East
11,11,-1,8,-1,4,False,True,True,True,True,East
11,10,-1,7,-1,4,True,True,False,True,True,South
11,9,-1,6,-1,4,True,False,True,True,True,South
12,9,-1,6,-1,2,False,True,True,True,True,East
