@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11,24,29-weka.filters.unsupervised.attribute.Remove-R12-19'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
11,10,508,1,1,11,3,5,1,7,1,South
11,9,507,1,1,11,3,5,1,7,1,South
11,8,506,1,1,11,3,5,1,7,1,South
11,7,505,1,1,11,3,5,1,7,1,South
11,6,504,1,1,11,3,5,1,7,1,South
11,5,503,1,1,11,3,5,1,7,1,South
9,1,0,1,5,8,5,11,5,18,5,Stop
8,1,99,1,5,8,5,11,5,18,5,West
7,1,198,1,5,8,5,11,5,18,5,West
6,1,297,1,5,8,5,11,5,18,5,West
5,1,396,1,5,8,5,11,5,18,5,West
4,1,495,1,5,8,5,11,5,18,5,West
3,1,594,1,5,8,5,11,5,18,5,West
2,1,693,1,5,8,5,11,5,18,5,West
1,1,792,1,5,8,5,11,5,18,5,West
1,2,891,1,5,8,5,11,5,18,5,North
1,3,990,1,5,8,5,11,5,18,5,North
1,4,1089,1,5,8,5,11,5,18,5,North
1,5,1288,1,1,8,5,11,5,18,5,North
2,5,1387,1,1,8,5,11,5,18,5,East
3,5,1486,1,1,8,5,11,5,18,5,East
4,5,1585,1,1,8,5,11,5,18,5,East
5,5,1684,1,1,8,5,11,5,18,5,East
6,5,1783,1,1,8,5,11,5,18,5,East
6,4,1882,1,1,8,5,11,5,18,5,South
6,3,1981,1,1,8,5,11,5,18,5,South
7,3,2080,1,1,8,5,11,5,18,5,East
8,3,2179,1,1,8,5,11,5,18,5,East
9,3,2278,1,1,8,5,11,5,18,5,East
10,3,2377,1,1,8,5,11,5,18,5,East
10,4,2376,1,1,8,5,11,5,18,5,North
10,5,2375,1,1,8,5,11,5,18,5,North
11,5,2574,1,1,8,5,5,1,18,5,East
10,5,2573,1,1,8,5,5,1,18,5,West
10,4,2572,1,1,8,5,5,1,18,5,South
10,3,2571,1,1,8,5,5,1,18,5,South
11,3,2670,1,1,8,5,5,1,18,5,East
12,3,2769,1,1,8,5,5,1,18,5,East
13,3,2868,1,1,8,5,5,1,18,5,East
13,4,2967,1,1,8,5,5,1,18,5,North
14,4,3066,1,1,8,5,5,1,18,5,East
15,4,3165,1,1,8,5,5,1,18,5,East
15,5,3264,1,1,8,5,5,1,18,5,North
16,5,3363,1,1,8,5,5,1,18,5,East
17,5,3462,1,1,8,5,5,1,18,5,East
18,5,3661,1,1,8,5,5,1,7,1,East
17,5,3660,1,1,8,5,5,1,7,1,West
16,5,3659,1,1,8,5,5,1,7,1,West
15,5,3658,1,1,8,5,5,1,7,1,West
14,5,3757,1,1,8,5,5,1,7,1,West
13,5,3856,1,1,8,5,5,1,7,1,West
13,4,3855,1,1,8,5,5,1,7,1,South
13,3,3854,1,1,8,5,5,1,7,1,South
12,3,3853,1,1,8,5,5,1,7,1,West
11,3,3852,1,1,8,5,5,1,7,1,West
10,3,3851,1,1,8,5,5,1,7,1,West
9,3,3850,1,1,8,5,5,1,7,1,West
9,4,3849,1,1,8,5,5,1,7,1,North
1,11,0,6,5,6,9,8,11,14,6,Stop
1,10,-1,6,5,6,9,8,11,14,6,South
1,9,-2,6,5,6,9,8,11,14,6,South
1,8,-3,6,5,6,9,8,11,14,6,South
1,7,-4,6,5,6,9,8,11,14,6,South
1,6,-5,6,5,6,9,8,11,14,6,South
1,5,-6,6,5,6,9,8,11,14,6,South
2,5,-7,6,5,6,9,8,11,14,6,East
3,5,-8,6,5,6,9,8,11,14,6,East
4,5,-9,6,5,6,9,8,11,14,6,East
5,5,-10,6,5,6,9,8,11,14,6,East
6,5,189,1,1,6,9,8,11,14,6,East
7,5,188,1,1,6,9,8,11,14,6,East
8,5,187,1,1,6,9,8,11,14,6,East
9,5,186,1,1,6,9,8,11,14,6,East
10,5,185,1,1,6,9,8,11,14,6,East
10,6,284,1,1,6,9,8,11,14,6,North
10,7,283,1,1,6,9,8,11,14,6,North
10,8,282,1,1,6,9,8,11,14,6,North
10,9,281,1,1,6,9,8,11,14,6,North
10,10,280,1,1,6,9,8,11,14,6,North
10,11,279,1,1,6,9,8,11,14,6,North
9,11,278,1,1,6,9,8,11,14,6,West
8,11,477,1,1,6,9,5,1,14,6,West
9,11,476,1,1,6,9,5,1,14,6,East
10,11,475,1,1,6,9,5,1,14,6,East
11,11,474,1,1,6,9,5,1,14,6,East
12,11,473,1,1,6,9,5,1,14,6,East
13,11,472,1,1,6,9,5,1,14,6,East
14,11,471,1,1,6,9,5,1,14,6,East
14,10,570,1,1,6,9,5,1,14,6,South
14,9,569,1,1,6,9,5,1,14,6,South
14,8,568,1,1,6,9,5,1,14,6,South
14,7,567,1,1,6,9,5,1,14,6,South
14,6,766,1,1,6,9,5,1,7,1,South
14,7,765,1,1,6,9,5,1,7,1,North
13,7,764,1,1,6,9,5,1,7,1,West
12,7,763,1,1,6,9,5,1,7,1,West
12,8,762,1,1,6,9,5,1,7,1,North
12,9,761,1,1,6,9,5,1,7,1,North
11,9,760,1,1,6,9,5,1,7,1,West
10,9,759,1,1,6,9,5,1,7,1,West
9,9,758,1,1,6,9,5,1,7,1,West
8,9,757,1,1,6,9,5,1,7,1,West
12,10,0,5,6,5,12,13,6,13,12,Stop
11,10,-1,5,6,5,12,13,6,13,12,West
10,10,-2,5,6,5,12,13,6,13,12,West
9,10,-3,5,6,5,12,13,6,13,12,West
8,10,-4,5,6,5,12,13,6,13,12,West
7,10,-5,5,6,5,12,13,6,13,12,West
6,10,-6,5,6,5,12,13,6,13,12,West
5,10,-7,5,6,5,12,13,6,13,12,West
4,10,-8,5,6,5,12,13,6,13,12,West
4,9,-9,5,6,5,12,13,6,13,12,South
4,8,-10,5,6,5,12,13,6,13,12,South
4,7,-11,5,6,5,12,13,6,13,12,South
4,6,-12,5,6,5,12,13,6,13,12,South
5,6,187,1,1,5,12,13,6,13,12,East
6,6,186,1,1,5,12,13,6,13,12,East
7,6,185,1,1,5,12,13,6,13,12,East
8,6,184,1,1,5,12,13,6,13,12,East
8,5,183,1,1,5,12,13,6,13,12,South
8,4,182,1,1,5,12,13,6,13,12,South
8,3,181,1,1,5,12,13,6,13,12,South
9,3,180,1,1,5,12,13,6,13,12,East
10,3,179,1,1,5,12,13,6,13,12,East
11,3,178,1,1,5,12,13,6,13,12,East
12,3,177,1,1,5,12,13,6,13,12,East
13,3,176,1,1,5,12,13,6,13,12,East
13,4,175,1,1,5,12,13,6,13,12,North
13,5,174,1,1,5,12,13,6,13,12,North
13,6,373,1,1,5,12,5,1,13,12,North
14,6,372,1,1,5,12,5,1,13,12,East
15,6,371,1,1,5,12,5,1,13,12,East
