@relation pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-11-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R16-19-weka.filters.unsupervised.attribute.Remove-R12-15

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute directionPacman {North,South,West,East,Stop,None}

@data
12,10,0,5,6,5,12,13,6,13,12,Stop
12,10,-1,5,5,5,12,13,6,13,12,Stop
12,10,-2,5,4,5,12,13,5,12,12,Stop
13,10,-3,4,4,5,12,13,6,11,12,East
14,10,-4,3,4,6,12,13,5,12,12,East
15,10,-5,3,3,7,12,14,5,13,12,East
15,9,-6,4,3,6,12,14,5,13,12,South
15,8,-7,3,3,7,12,14,5,12,12,South
15,7,-8,4,3,6,12,15,5,12,12,South
15,6,-9,4,3,7,12,16,5,13,12,South
14,6,-10,3,3,8,12,16,5,13,12,West
13,6,-11,4,3,9,12,16,6,13,12,West
14,6,-12,3,3,9,12,17,6,13,12,East
15,6,-13,3,4,9,13,17,5,13,12,East
16,6,-14,4,4,9,14,16,5,13,12,East
17,6,-15,3,4,9,13,16,6,13,12,East
17,5,-16,3,5,9,14,16,7,12,12,South
17,4,-17,2,5,10,14,16,6,11,12,South
16,4,-18,2,5,9,14,17,6,11,12,West
15,4,-19,3,5,9,14,16,6,11,12,West
15,5,-20,3,6,9,14,17,6,11,12,North
15,6,-21,2,6,10,14,18,6,11,12,North
16,6,-22,2,5,10,14,18,7,12,12,East
17,6,-23,2,4,11,14,17,7,12,12,East
18,6,-24,3,4,10,14,17,7,11,12,East
18,7,-25,3,4,10,13,16,7,12,12,North
17,7,-26,3,3,10,13,16,6,13,12,West
16,7,-27,4,3,10,13,16,5,13,12,West
15,7,-28,5,3,10,13,16,5,12,12,West
15,6,-29,6,3,10,14,15,5,12,12,South
15,5,170,6,4,10,13,5,1,11,12,South
16,5,169,5,4,9,13,5,1,11,12,East
17,5,168,5,4,9,13,5,1,10,12,East
16,5,167,4,4,9,14,5,1,10,12,West
15,5,166,4,4,8,14,5,1,10,13,West
14,5,165,3,4,8,14,5,1,10,13,West
14,4,164,3,3,9,14,5,1,10,14,South
13,4,163,3,4,8,14,5,1,11,14,West
12,4,162,3,4,8,13,5,1,11,14,West
12,3,161,4,4,8,12,5,1,11,14,South
11,3,160,4,3,9,12,5,1,11,14,West
10,3,159,4,3,10,12,5,1,11,14,West
9,3,158,4,4,10,13,5,1,11,14,West
8,3,157,5,4,10,14,5,1,10,14,West
7,3,156,6,4,11,14,5,1,9,14,West
6,3,155,5,4,11,14,5,1,10,14,West
6,4,154,5,5,12,14,5,1,10,13,North
6,5,153,5,4,12,14,5,1,9,13,North
5,5,152,4,4,11,14,5,1,9,14,West
4,5,151,3,4,10,14,5,1,9,14,West
5,5,150,3,5,10,14,5,1,9,14,East
5,4,149,3,6,11,14,5,1,10,14,South
5,3,148,3,6,11,14,5,1,10,14,South
4,3,147,3,7,10,14,5,1,11,14,West
3,3,146,3,7,10,13,5,1,11,14,West
3,4,145,3,8,10,14,5,1,10,14,North
3,5,144,3,8,11,14,5,1,9,14,North
3,6,143,4,8,11,14,5,1,10,14,North
3,7,142,4,8,10,14,5,1,11,14,North
3,8,141,4,9,10,14,5,1,12,14,North
4,8,140,5,9,9,14,5,1,11,14,East
5,8,139,5,10,10,14,5,1,10,14,East
6,8,138,5,10,9,14,5,1,11,14,East
7,8,137,5,10,10,14,5,1,12,14,East
8,8,136,6,10,10,13,5,1,13,14,East
7,8,135,6,10,10,14,5,1,12,14,West
6,8,134,6,10,10,13,5,1,12,14,West
5,8,133,5,10,9,13,5,1,11,14,West
