@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R4-7,29'

@attribute posPacmanX numeric
@attribute posPacmanY numeric
@attribute score numeric
@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute posGhost1X numeric
@attribute posGhost1Y numeric
@attribute posGhost2X numeric
@attribute posGhost2Y numeric
@attribute posGhost3X numeric
@attribute posGhost3Y numeric
@attribute posGhost4X numeric
@attribute posGhost4Y numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
24,14,513,-1,-1,-1,2,1,1,3,1,5,1,25,13,True,False,True,True,True,False,False,False,True,South
9,1,0,12,5,6,13,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,Stop
9,1,-1,12,5,6,13,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,Stop
9,1,-2,12,5,6,13,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,Stop
9,1,-3,12,5,6,13,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,Stop
10,1,96,13,6,5,12,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
11,1,195,14,7,4,11,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
12,1,294,15,8,5,10,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
13,1,393,16,9,6,9,1,5,8,5,11,5,18,5,True,False,True,True,True,True,True,True,True,East
14,1,492,17,10,7,8,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
15,1,591,18,11,8,7,1,5,8,5,11,5,18,5,True,False,True,True,True,True,True,True,True,East
16,1,690,19,12,9,6,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
17,1,789,20,13,10,5,1,5,8,5,11,5,18,5,False,False,True,True,True,True,True,True,True,East
18,1,888,21,14,11,4,1,5,8,5,11,5,18,5,True,False,False,True,True,True,True,True,True,East
18,2,987,20,13,10,3,1,5,8,5,11,5,18,5,True,True,False,False,True,True,True,True,True,North
18,3,1086,19,12,9,2,1,5,8,5,11,5,18,5,True,True,False,False,True,True,True,True,True,North
18,4,1185,18,11,8,1,1,5,8,5,11,5,18,5,True,True,False,False,True,True,True,True,True,North
18,5,1384,17,10,7,-1,1,5,8,5,11,5,7,1,False,True,False,True,True,True,True,True,False,North
17,5,1483,16,9,6,-1,1,5,8,5,11,5,7,1,False,False,True,True,True,True,True,True,False,West
16,5,1582,15,8,5,-1,1,5,8,5,11,5,7,1,False,False,True,True,True,True,True,True,False,West
15,5,1681,14,7,4,-1,1,5,8,5,11,5,7,1,False,True,True,True,True,True,True,True,False,West
14,5,1780,13,6,3,-1,1,5,8,5,11,5,7,1,False,True,True,True,True,True,True,True,False,West
13,5,1879,12,5,2,-1,1,5,8,5,11,5,7,1,False,True,True,False,True,True,True,True,False,West
13,4,1978,13,6,3,-1,1,5,8,5,11,5,7,1,True,True,True,False,True,True,True,True,False,South
13,3,2077,14,7,4,-1,1,5,8,5,11,5,7,1,True,True,False,True,True,True,True,True,False,South
12,3,2176,13,6,3,-1,1,5,8,5,11,5,7,1,False,False,True,True,True,True,True,True,False,West
11,3,2275,12,5,2,-1,1,5,8,5,11,5,7,1,False,False,True,True,True,True,True,True,False,West
10,3,2374,11,4,3,-1,1,5,8,5,11,5,7,1,True,False,True,True,True,True,True,True,False,West
10,4,2373,10,3,2,-1,1,5,8,5,11,5,7,1,True,True,False,True,True,True,True,True,False,North
10,5,2372,9,2,1,-1,1,5,8,5,11,5,7,1,False,True,True,True,True,True,True,True,False,North
11,5,2571,10,3,-1,-1,1,5,8,5,5,1,7,1,False,False,False,True,True,True,True,False,False,East
10,5,2570,9,2,-1,-1,1,5,8,5,5,1,7,1,False,True,True,True,True,True,True,False,False,West
9,5,2569,8,1,-1,-1,1,5,8,5,5,1,7,1,False,True,True,True,True,True,True,False,False,West
8,5,2768,7,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,False,True,True,False,False,False,West
9,5,2767,8,-1,-1,-1,1,5,3,1,5,1,7,1,False,True,True,True,True,True,False,False,False,East
9,4,2766,9,-1,-1,-1,1,5,3,1,5,1,7,1,True,True,True,False,True,True,False,False,False,South
9,3,2865,10,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,South
8,3,2964,9,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
7,3,3063,8,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
6,3,3162,7,-1,-1,-1,1,5,3,1,5,1,7,1,True,True,True,False,True,True,False,False,False,West
6,2,3261,8,-1,-1,-1,1,5,3,1,5,1,7,1,True,True,False,False,True,True,False,False,False,South
6,1,3360,9,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,South
5,1,3859,8,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
4,1,3958,7,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,West
3,1,4457,6,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
4,1,4456,7,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,East
5,1,4855,8,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,East
6,1,4854,9,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,East
7,1,5353,10,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,East
8,1,5452,11,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,East
7,1,5851,10,-1,-1,-1,1,5,3,1,5,1,7,1,False,False,True,True,True,True,False,False,False,West
6,1,5850,9,-1,-1,-1,1,5,3,1,5,1,7,1,True,False,True,True,True,True,False,False,False,West
