@relation 'pacmandirection-weka.filters.unsupervised.attribute.Remove-R1-7,12-19,29'

@attribute distanceGhosts1 numeric
@attribute distanceGhosts2 numeric
@attribute distanceGhosts3 numeric
@attribute distanceGhosts4 numeric
@attribute legalNorth {True,False}
@attribute legalSouth {True,False}
@attribute legalEast {True,False}
@attribute legalWest {True,False}
@attribute legalStop {True,False}
@attribute livingGhost1 {True,False}
@attribute livingGhost2 {True,False}
@attribute livingGhost3 {True,False}
@attribute livingGhost4 {True,False}
@attribute directionPacman {North,South,West,East,Stop,None}

@data
-1,13,-1,-1,True,True,False,False,True,False,True,False,False,South
-1,12,-1,-1,True,True,True,True,True,False,True,False,False,South
-1,11,-1,-1,False,True,True,True,True,False,True,False,False,West
-1,10,-1,-1,False,False,True,True,True,False,True,False,False,West
-1,9,-1,-1,False,True,True,True,True,False,True,False,False,West
-1,8,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,7,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,6,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,5,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,4,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,3,-1,-1,True,True,False,True,True,False,True,False,False,South
-1,2,-1,-1,True,True,False,True,True,False,True,False,False,South
12,5,6,13,False,False,True,True,True,True,True,True,True,Stop
11,4,7,14,False,False,True,True,True,True,True,True,True,West
10,5,8,15,False,False,True,True,True,True,True,True,True,West
9,6,9,16,True,False,True,True,True,True,True,True,True,West
8,7,10,17,False,False,True,True,True,True,True,True,True,West
7,8,11,18,True,False,True,True,True,True,True,True,True,West
6,9,12,19,False,False,True,True,True,True,True,True,True,West
5,10,13,20,False,False,True,True,True,True,True,True,True,West
4,11,14,21,True,False,True,False,True,True,True,True,True,West
3,10,13,20,True,True,False,False,True,True,True,True,True,North
2,9,12,19,True,True,False,False,True,True,True,True,True,North
1,8,11,18,True,True,False,False,True,True,True,True,True,North
-1,7,10,17,False,True,True,False,True,False,True,True,True,North
-1,6,9,16,False,False,True,True,True,False,True,True,True,East
-1,5,8,15,False,False,True,True,True,False,True,True,True,East
-1,4,7,14,False,True,True,True,True,False,True,True,True,East
-1,3,6,13,False,True,True,True,True,False,True,True,True,East
-1,2,5,12,False,True,False,True,True,False,True,True,True,East
-1,3,6,13,True,True,False,True,True,False,True,True,True,South
-1,4,7,14,True,True,True,False,True,False,True,True,True,South
-1,3,6,13,False,False,True,True,True,False,True,True,True,East
-1,2,5,12,False,False,True,True,True,False,True,True,True,East
-1,3,4,11,True,False,True,True,True,False,True,True,True,East
-1,4,3,10,True,False,True,True,True,False,True,True,True,East
-1,3,2,9,True,True,False,True,True,False,True,True,True,North
-1,2,1,8,False,True,True,True,True,False,True,True,True,North
-1,3,-1,7,False,False,False,True,True,False,True,False,True,East
-1,2,-1,8,False,True,True,True,True,False,True,False,True,West
-1,3,-1,9,True,True,False,True,True,False,True,False,True,South
-1,4,-1,10,True,False,True,True,True,False,True,False,True,South
-1,5,-1,9,False,False,True,True,True,False,True,False,True,East
-1,6,-1,8,False,False,True,True,True,False,True,False,True,East
-1,7,-1,7,True,True,False,True,True,False,True,False,True,East
-1,6,-1,6,True,True,True,False,True,False,True,False,True,North
-1,7,-1,5,True,False,True,True,True,False,True,False,True,East
-1,8,-1,4,True,True,False,True,True,False,True,False,True,East
-1,7,-1,3,False,True,True,True,True,False,True,False,True,North
